SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/pref_1var_2_4occ/0,,SOLVED
ZipRewrite,list/pref_1var_2_4occ/1,,SOLVED
ZipRewrite,list/pref_1var_2_4occ/2,,SOLVED
ZipRewrite,list/pref_1var_2_4occ/3,,SOLVED
ZipRewrite,list/pref_1var_2_4occ/4,,SOLVED
ZipRewrite,list/pref_1var_2_3occ/0,,FAILED
ZipRewrite,list/pref_1var_2_3occ/1,,FAILED
ZipRewrite,list/pref_1var_5_8occ/0,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/1,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/10,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/11,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/12,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/13,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/14,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/15,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/16,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/17,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/18,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/19,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/2,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/20,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/21,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/22,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/23,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/24,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/25,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/26,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/27,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/28,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/29,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/3,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/30,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/31,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/32,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/33,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/34,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/35,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/36,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/37,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/38,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/39,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/4,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/40,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/41,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/42,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/43,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/44,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/45,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/46,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/47,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/48,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/49,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/5,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/6,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/7,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/8,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/9,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/3,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/5,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/6,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/7,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/8,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/9,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/0,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/1,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/10,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/11,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/12,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/13,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/2,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/3,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/4,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/5,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/6,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/7,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/8,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/9,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/0,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/1,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/10,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/11,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/12,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/13,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/14,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/15,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/16,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/17,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/18,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/19,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/2,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/20,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/21,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/22,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/23,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/24,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/25,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/26,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/27,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/28,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/29,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/3,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/30,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/31,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/32,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/33,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/34,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/35,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/36,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/37,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/38,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/39,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/4,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/40,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/41,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/42,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/43,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/44,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/45,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/46,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/47,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/48,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/49,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/5,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/6,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/7,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/8,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/9,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/0,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/1,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/10,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/11,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/12,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/13,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/14,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/15,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/16,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/17,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/18,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/19,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/2,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/20,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/21,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/22,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/23,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/24,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/25,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/26,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/27,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/28,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/29,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/3,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/30,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/31,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/32,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/33,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/34,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/35,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/36,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/37,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/38,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/39,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/4,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/40,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/41,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/42,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/43,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/44,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/45,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/46,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/47,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/48,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/49,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/5,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/6,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/7,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/8,,SOLVED
ZipRewrite,list/pref_1var_5_9occ/9,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/10,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/11,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/12,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/13,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/14,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/15,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/16,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/17,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/18,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/19,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/20,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/21,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/22,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/23,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/24,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/25,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/26,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/27,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/28,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/29,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/3,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/30,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/31,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/32,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/33,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/34,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/35,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/36,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/37,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/38,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/39,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/40,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/41,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/42,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/43,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/44,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/45,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/46,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/47,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/48,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/49,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/5,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/6,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/7,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/8,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/9,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/0,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/1,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/10,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/11,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/12,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/13,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/14,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/15,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/16,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/17,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/18,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/19,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/2,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/20,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/21,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/22,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/23,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/24,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/25,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/26,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/27,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/28,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/29,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/3,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/30,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/31,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/32,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/33,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/34,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/35,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/36,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/37,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/38,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/39,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/4,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/40,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/41,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/42,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/43,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/44,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/45,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/46,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/47,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/48,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/49,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/5,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/6,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/7,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/8,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/9,,SOLVED
ZipRewrite,list/pref_1var_3_4occ/0,,FAILED
ZipRewrite,list/pref_1var_3_4occ/1,,FAILED
ZipRewrite,list/pref_1var_3_4occ/2,,FAILED
ZipRewrite,list/pref_1var_3_4occ/3,,FAILED
ZipRewrite,list/pref_1var_3_4occ/4,,FAILED
ZipRewrite,list/pref_1var_3_4occ/5,,FAILED
ZipRewrite,list/pref_1var_3_4occ/6,,FAILED
ZipRewrite,list/pref_1var_3_4occ/7,,FAILED
ZipRewrite,list/pref_1var_3_4occ/8,,FAILED
ZipRewrite,list/pref_1var_3_4occ/9,,FAILED
ZipRewrite,list/concat_assoc_1var_3occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/10,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/11,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/12,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/13,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/14,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/15,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/16,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/17,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/18,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/19,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/20,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/21,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/22,,FAILED
ZipRewrite,list/concat_assoc_1var_8occ/23,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/24,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/25,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/26,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/27,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/28,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/29,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/3,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/30,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/31,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/32,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/33,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/34,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/35,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/36,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/37,,FAILED
ZipRewrite,list/concat_assoc_1var_8occ/38,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/39,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/40,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/41,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/42,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/43,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/44,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/45,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/46,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/47,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/48,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/49,,SOLVED
